source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
14066	1371.9728	4386.4819	0.078																			29.8329	0.0519	0.03973406526069321	0.0018980553008152428	20.93409251228183	0.0026634052917928956																														
5702	1376.1107	2089.2983	0.354																			99.0	99.0	-0.003006952390493746	0.0019024014526803023	-1.5806087544020937	0.002957243673953772																														
7978	3420.2339	2706.0022	0.347																			32.3556	0.5295	0.003890947136381844	0.0018970881440868459	2.051010201349781	0.002975488769774072																														
13065	2205.1865	4023.6255	0.374																			30.3495	0.0835	0.024690223189134768	0.0018980553008152428	13.00816850727687	0.002723934775980218																														
1693	3997.7585	954.4285	0.348																			32.7163	0.7387	0.002791175020588991	0.0018985385814706186	1.470170291944729	0.002755771151878274																														
14166	4369.8594	4378.875	0.363																			32.1416	0.4353	0.004738605528107225	0.0018995051427813702	2.4946526447244426	0.0031133589317020203																														
14305	2515.8889	4422.1592	0.352																			31.402	0.2201	0.009365379714087928	0.0018980553008152428	4.93419749680916	0.0022858192348417967																														
7380	11124.8291	2549.4412	0.347																			99.0	99.0	-0.001008086332747487	0.0018985385814706186	-0.5309801668431819	0.0032934846685457684																														
4708	1314.943	1810.7941	0.351																			34.5685	4.0646	0.0005068689192817162	0.0018970881440868459	0.26718258762072183	0.0031013805070756175																														
17365	2530.5261	5832.2676	0.352																			99.0	99.0	-0.0021814733060530676	0.0018999882249641977	-1.1481509608272304	0.002729602926360324																														
7955	8246.3311	2662.2515	0.85																			29.1994	0.0289	0.07121087861737936	0.0018975716232147702	37.52737327339322	0.0030910199083153764																														
12459	397.1675	3814.1521	0.416																			30.2754	0.078	0.02643392361043667	0.0018990220605985429	13.919755941173795	0.0033772270904785387																														
6718	4554.5532	2359.7986	0.39																			30.9411	0.144	0.014317849336733248	0.0018980553008152428	7.543431074207121	0.003179905289817525																														
